gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IRAK1,33.0271177135829,0.782429609328383,0.141029968344922,5.5479669924818,2.89010419398049e-08,1.8332508923257e-05
EIF3J-DT,32.8653272588082,-0.680077136280411,0.122929447517663,-5.5322556963635,3.16138592070827e-08,1.92820222809968e-05
LYRM9,14.2418641277068,-1.10519594503442,0.200309667840354,-5.51743686138632,3.43979605164504e-08,2.02030688099952e-05
HYOU1,35.8068192718019,1.02304075729654,0.186089436557855,5.49757566157429,3.85048122127878e-08,2.18074754310853e-05
FAM227B,5.19025946131319,-1.63244461536621,0.299083400003144,-5.45815854490437,4.81097984238652e-08,2.63077649450225e-05
ERICH6-AS1,6.40170613339792,-1.7109604265662,0.314254359931343,-5.44450815874125,5.19487231341042e-08,2.74600950486875e-05
TP53,26.0905426075722,0.726186818002013,0.133878876273927,5.42420759878635,5.82121958424199e-08,2.97783548925514e-05
ABHD14A,34.4229628908309,-1.23315269236357,0.22793001445841,-5.41022513113815,6.29455674817531e-08,3.11595507999823e-05
NDRG1,49.1300836687906,1.11575489798325,0.206433692359055,5.40490694727582,6.48420466893313e-08,3.11595507999823e-05
SESN1,20.2161024363653,-0.982171172581252,0.183649126322831,-5.34808518966066,8.88896269177551e-08,4.12430857253818e-05
PSMA7,320.667914693013,0.544741821757769,0.101939382647905,5.34378183983402,9.10271156758964e-08,4.12430857253818e-05
CTPS1,8.12150667497783,1.29890374181005,0.243871928058437,5.32617161864898,1.00304365621128e-07,4.41840730561069e-05
ZMAT1,31.3765331360935,-1.27935195028159,0.240989129971393,-5.30875376177117,1.10377331288151e-07,4.73071275558784e-05
DUSP1,289.166726593487,-1.20338306482656,0.227048976372244,-5.30010345809102,1.1573707843967e-07,4.82989102604286e-05
ZNF84,15.0269874794622,-0.695252015387016,0.131672292303416,-5.28016945117753,1.2906446770921e-07,5.24795981777602e-05
WDR1,123.660497887666,0.600160664025907,0.114522594707053,5.24054371594624,1.60104151959058e-07,6.34732910441687e-05
TTC32,19.98461592023,-0.810607487923539,0.1553626288642,-5.21751912831031,1.81335502073138e-07,7.01370339481906e-05
NUP205,15.3504014683474,0.664872984399869,0.127703926733793,5.206362884877,1.92577871763806e-07,7.27119021531058e-05
CYB5B,43.1564263037696,0.535208991180969,0.103045314867297,5.19391873245491,2.0591305422193e-07,7.5675072802897e-05
ENO1,329.28791916317,0.866057995188052,0.166861284791867,5.19028722731173,2.09969933366595e-07,7.5675072802897e-05
PHF3,113.777995842242,-0.484771718145698,0.0940287799071089,-5.15556746162828,2.52863982353477e-07,8.91092673813652e-05
SNRPA1,74.1315267184904,0.582815204114946,0.113190850033007,5.14896039693135,2.61934173663033e-07,9.02989592597473e-05
KARS,55.8130149600239,0.582161403044709,0.113626514236261,5.12346442164223,2.99972269516604e-07,0.0001012119202126
GSTA2,59.9975839329823,-4.73317413012427,0.926271632351652,-5.10992020570415,3.22294903424911e-07,0.000106120131555
AP4B1,11.1063861936376,0.999137948860874,0.195800882830377,5.10282657778633,3.34617615562769e-07,0.000106120131555
REV3L,48.6303950510608,-0.617114020626806,0.12096974470418,-5.10139144408297,3.371653925052e-07,0.000106120131555
